2025-07-20 10:50:36.851456 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 10:54:38.940732 | USB disabled after auth | Success
2025-07-20 10:54:38.971073 | Monitor started | Info
2025-07-20 11:10:59.591474 | USB enabled after auth | Success
2025-07-20 11:10:59.619065 | Monitor started | Info
2025-07-20 11:14:19.031942 | USB enabled after auth | Success
2025-07-20 11:14:19.053576 | Monitor started | Info
2025-07-20 11:52:52.781059 | Monitor started | Info
2025-07-20 11:53:45.413244 | USB enabled after auth | Success
2025-07-20 11:53:45.437135 | Monitor started | Info
2025-07-20 12:01:34.826320 | USB enabled after auth | Success
2025-07-20 12:01:34.842133 | Monitor started | Info
